date,name,continent,confirm,suspect,dead,heal
2020-06-22,美国,北美洲,2356657,0,122247,980355
2020-06-22,巴西,南美洲,1083341,0,50591,588118
2020-06-22,俄罗斯,欧洲,591465,0,8196,343847
2020-06-22,印度,亚洲,410461,0,13254,227756
2020-06-22,英国,欧洲,305803,0,42717,1319
2020-06-22,西班牙,欧洲,293352,0,28323,196958
2020-06-22,秘鲁,南美洲,251338,0,7861,141967
2020-06-22,智利,南美洲,242355,0,4479,200569
2020-06-22,意大利,欧洲,238499,0,34634,182893
2020-06-22,伊朗,亚洲,204952,0,9623,163591
2020-06-22,法国,欧洲,197008,0,29643,74496
2020-06-22,德国,欧洲,191657,0,8897,175042
2020-06-22,土耳其,亚洲,187685,0,4950,160240
2020-06-22,巴基斯坦,亚洲,181088,0,3590,71458
2020-06-22,墨西哥,北美洲,180545,0,21825,134495
2020-06-22,沙特阿拉伯,亚洲,157612,0,1267,101130
2020-06-22,孟加拉,亚洲,112306,0,1464,45077
2020-06-22,加拿大,北美洲,103078,0,8482,65249
2020-06-22,南非,非洲,97302,0,1930,51608
2020-06-22,卡塔尔,亚洲,87369,0,98,68319
2020-06-22,哥伦比亚,南美洲,68836,0,2353,27412
2020-06-22,比利时,欧洲,60550,0,9696,16771
2020-06-22,白俄罗斯,欧洲,58505,0,346,37666
2020-06-22,瑞典,欧洲,56043,0,5053,0
2020-06-22,埃及,非洲,55233,0,2193,14736
2020-06-22,厄瓜多尔,南美洲,50640,0,4223,24991
2020-06-22,荷兰,欧洲,49801,0,6109,186
2020-06-22,印度尼西亚,亚洲,45891,0,2465,18404
2020-06-22,阿联酋,亚洲,44925,0,302,32415
2020-06-22,阿根廷,南美洲,42785,0,1011,12728
2020-06-22,新加坡,亚洲,42313,0,26,34942
2020-06-22,科威特,亚洲,39650,0,326,31240
2020-06-22,葡萄牙,欧洲,39133,0,1530,25376
2020-06-22,乌克兰,欧洲,38056,0,1022,17211
2020-06-22,波兰,欧洲,31931,0,1356,17076
2020-06-22,瑞士,欧洲,31292,0,1956,29000
2020-06-22,伊拉克,亚洲,30868,0,1100,13935
2020-06-22,菲律宾,亚洲,30052,0,1169,7893
2020-06-22,阿曼,亚洲,29471,0,131,15552
2020-06-22,阿富汗,亚洲,29143,0,598,8841
2020-06-22,多米尼加,北美洲,26677,0,662,15138
2020-06-22,巴拿马,北美洲,26030,0,501,14359
2020-06-22,爱尔兰,欧洲,25379,0,1715,22698
2020-06-22,玻利维亚,南美洲,24388,0,773,5454
2020-06-22,罗马尼亚,欧洲,24045,0,1512,16911
2020-06-22,巴林,亚洲,21764,0,63,16419
2020-06-22,以色列,亚洲,20869,0,307,15714
2020-06-22,亚美尼亚,亚洲,20588,0,360,9131
2020-06-22,尼日利亚,非洲,20244,0,518,6879
2020-06-22,日本本土,亚洲,17810,0,955,15948
2020-06-22,哈萨克斯坦,亚洲,17732,0,120,10897
2020-06-22,奥地利,欧洲,17341,0,690,16197
2020-06-22,摩尔多瓦,欧洲,14200,0,473,7896
2020-06-22,加纳,非洲,14154,0,85,10473
